Sport	Total
Athletics	19
Shooting	9
Wrestling	3
Bridge	3
Lawn tennis	3
Rowing	3
Boxing	2
Archery	2
Equestrian	2
Squash	5
Sailing	3
Badminton	2
Field hockey	2
Kabaddi	2
Kurash	2
Wushu	4
Table tennis	2
Sepak takraw	1
Total	69
